scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
your package has been delayed due to a fish and wildlife agency hold-UPS UK-Held for inspection by government agency,your package has been delayed due to a fish and wildlife agency hold,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
customs is requesting clarification on invoice documentation sender or importer validation is required before release-UPS UK-Shipment is held to verify commodity description for correct classification,customs is requesting clarification on invoice documentation sender or importer validation is required before release,RegEx,756b914a-2d36-4de9-87b2-588443c88916,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment is held to verify commodity description for correct classification,Additional information required for customs clearance,,,,,,,,
the receiver has canceled the product order and refused delivery-UPS UK-Delivery refused,the receiver has canceled the product order and refused delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver had no invoice information for this package and has refused the delivery-UPS UK-Delivery refused,the receiver had no invoice information for this package and has refused the delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver will pick up the package at a ups facility-UPS UK-Receiver to pick up shipment,the receiver will pick up the package at a ups facility,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
the receiver arranged to pick up the package at a ups facility pickup must be made within 5 business days-UPS UK-Receiver to pick up shipment,the receiver arranged to pick up the package at a ups facility pickup must be made within 5 business days,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Package needs to be collected within 5 business days,,,,,,,,
export documentation is missing and is required for clearance we are working to obtain this information-UPS UK-Missing or incomplete export documentation,export documentation is missing and is required for clearance we are working to obtain this information,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Missing or incomplete export documentation,,,,,,,,
severe weather has delayed the package it will be delivered as soon as conditions permit-UPS UK-Delay due to adverse weather conditions,severe weather has delayed the package it will be delivered as soon as conditions permit,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delay due to adverse weather conditions,Delay due to adverse weather conditions,,,,,,,,
your package will be held at a warehouse until it is released by the clearance agency-UPS UK-Awaiting release from customs,your package will be held at a warehouse until it is released by the clearance agency,RegEx,242a0d42-f28c-41ca-8c57-c3bf000812a8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment on hold,Shipment on hold,,,,,,,,
the clearing agency is experiencing technical difficulties and is temporarily unable to transmit package information-UPS UK-Customs clearance delay,the clearing agency is experiencing technical difficulties and is temporarily unable to transmit package information,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Customs clearance delay,Customs clearance delay,,,,,,,,
out for delivery to ups access point-UPS UK-Out for delivery,out for delivery to ups access point,RegEx,475f6865-4882-4523-8795-9a0d4f8e1d6e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Out for delivery,Out for delivery,,,,,,,,
the package has been damaged and the sender will be notified the undamaged portion has been returned to the sender-UPS UK-Damaged package being returned,the package has been damaged and the sender will be notified the undamaged portion has been returned to the sender,RegEx,54e6dd7d-974e-4b3d-ba76-a2dee34f970d,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Damaged package being returned,Contents damaged and balance being returned,,,,,,,,
we were unable to deliver to the ups access point location-UPS UK-Unable to deliver to pick-up point - Re-attempt on the next business day,we were unable to deliver to the ups access point location,RegEx,205b64f8-74d0-4bfe-8c13-b1ac717a34b8,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Unable to deliver to pick-up point - Re-attempt on the next business day,Unable to deliver to pick-up point. Contact carrier for alternative arrangements,,,,,,,,
we ve confirmed arrangements-UPS UK-Unable to contact receiver,we ve confirmed arrangements,RegEx,305edab0-4c35-4bd1-85c6-1f991389ccbb,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Unable to contact receiver,New instructions received - We updated the delivery information for your package,,,,,,,,
we must contact the receiver for import requirements to clear the package but the receiver s phone is invalid-UPS UK-Valid receiver's contact information required,we must contact the receiver for import requirements to clear the package but the receiver s phone is invalid,RegEx,ac2ea6ba-0e4d-4a6d-9710-b986c170f65e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Valid receiver's contact information required,Valid receiver's contact information required,,,,,,,,
we were unable to deliver the package on our final attempt we are returning this package to the sender-UPS UK-Final delivery attempt. Shipment to be returned.,we were unable to deliver the package on our final attempt we are returning this package to the sender,RegEx,c7e17dc9-f619-4e01-b4f2-288e60670bbc,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Final delivery attempt. Shipment to be returned.,Final delivery attempt. Shipment to be returned.,,,,,,,,
the package was refused and will be returned to the sender-UPS UK-Delivery refused,the package was refused and will be returned to the sender,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
we ve submitted documentation to a government agency and are awaiting a response-UPS UK-Clearance has been delayed by customs or other government agency,we ve submitted documentation to a government agency and are awaiting a response,RegEx,e88ff616-6014-4117-9c92-de79a974709f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Clearance has been delayed by customs or other government agency,Awaiting release from customs,,,,,,,,
modification of the receiver s address-UPS UK-Rescheduled delivery due to updated address,modification of the receiver s address,RegEx,f77abb6a-14d1-485f-91b6-71ed3e096044,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Rescheduled delivery due to updated address,Change of delivery address,,,,,,,,
customer was not available on 1st attempt delivery will be made to a nearby ups access point for customer to pick up-UPS UK-Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,customer was not available on 1st attempt delivery will be made to a nearby ups access point for customer to pick up,RegEx,66fc71f9-e01b-4b87-9138-14ebf068c01e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,,,,,,,,
customer not in on 1st attempt delivery will be made to a ups access point next business day for customer pickup-UPS UK-Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,customer not in on 1st attempt delivery will be made to a ups access point next business day for customer pickup,RegEx,66fc71f9-e01b-4b87-9138-14ebf068c01e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,,,,,,,,
the city name in the address is incorrect this may delay delivery we re attempting to update the address-UPS UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,the city name in the address is incorrect this may delay delivery we re attempting to update the address,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,
the receiver has requested a delayed delivery-UPS UK-Package on hold for delivery,the receiver has requested a delayed delivery,RegEx,667c9f0c-4671-4af0-a788-c264b8553dac,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package on hold for delivery,Request to reschedule delivery,,,,,,,,
your package was released for delivery by the clearing agency-UPS UK-Released by customs. Clearance complete.,your package was released for delivery by the clearing agency,RegEx,8a6f5bab-4a6d-46fc-8d5c-33eb00e367b1,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Released by customs. Clearance complete.,Released by customs. Clearance complete.,,,,,,,,
a ups processing error has delayed delivery we re adjusting plans as quickly as possible-UPS UK-Carrier error delayed delivery,a ups processing error has delayed delivery we re adjusting plans as quickly as possible,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,Carrier error delayed delivery,,,,,,,,
the package was not ready at the time of the first pickup attempt a second attempt will be made-UPS UK-1st collection attempt. Package not ready. 2nd collection attempt to be made.,the package was not ready at the time of the first pickup attempt a second attempt will be made,RegEx,536f6505-2739-435d-a636-3fb8930e037e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,1st collection attempt. Package not ready. 2nd collection attempt to be made.,1st collection attempt. Package not ready. 2nd collection attempt to be made.,,,,,,,,
the importer has not assigned a broker this may delay delivery-UPS UK-The receiver wishes to use their own broker for customs clearance. This may delay delivery,the importer has not assigned a broker this may delay delivery,RegEx,1ffa247f-3e95-4e75-9af9-c3f190dc688b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,The receiver wishes to use their own broker for customs clearance. This may delay delivery,The receiver wishes to use their own broker for customs clearance. This may delay delivery,,,,,,,,
the package has been damaged and the sender will be notified we are returning the merchandise to the sender-UPS UK-Damaged package being returned,the package has been damaged and the sender will be notified we are returning the merchandise to the sender,RegEx,54e6dd7d-974e-4b3d-ba76-a2dee34f970d,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Damaged package being returned,Damaged package being returned,,,,,,,,
the service selected is not available to this destination address this has delayed delivery-UPS UK-Trying to contact receiver,the service selected is not available to this destination address this has delayed delivery,RegEx,6304c807-f86e-415c-a4b8-bd033fbe68b7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Trying to contact receiver,Service not available for this location and will be changed,,,,,,,,
we ve left a message for the receiver to contact us-UPS UK-Request to contact carrier,we ve left a message for the receiver to contact us,RegEx,53e44803-b64b-418e-8bcf-c6ec2fdbe0d0,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Request to contact carrier,Request to contact carrier,,,,,,,,
a required security check has delayed delivery-UPS UK-Held for inspection by government agency,a required security check has delayed delivery,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
we ve contacted the receiver to request additional information-UPS UK-Information needed from the receiver,we ve contacted the receiver to request additional information,RegEx,2f774d6e-b42b-425d-9d7d-e260e978de9e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Information needed from the receiver,Information needed from the receiver,,,,,,,,
the receiver states the product was not ordered and has refused the delivery-UPS UK-Delivery refused,the receiver states the product was not ordered and has refused the delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver agreed to pickup the package at a ups location-UPS UK-Receiver to pick up shipment,the receiver agreed to pickup the package at a ups location,RegEx,16ccd96a-db97-48d3-a2aa-95bdb0b85613,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver to pick up shipment,Receiver to pick up shipment,,,,,,,,
we received a request to modify the delivery address-UPS UK-Delivery to alternative address requested,we received a request to modify the delivery address,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery to alternative address requested,Delivery to alternative address requested,,,,,,,,
we ve modified the requested change of delivery for your package-UPS UK-Delivery rescheduled,we ve modified the requested change of delivery for your package,RegEx,4baae71a-4579-4fed-860a-05da3b13ddc9,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery rescheduled,New instructions received - We updated the delivery information for your package,,,,,,,,
the package is delayed due to a eurotunnel traffic disruption we are adjusting delivery plans as quickly as possible-UPS UK-Delayed due to circumstances beyond our control - Corrective action underway,the package is delayed due to a eurotunnel traffic disruption we are adjusting delivery plans as quickly as possible,RegEx,da51b056-3d09-4978-ab8e-695c2852f981,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delayed due to circumstances beyond our control - Corrective action underway,Delivery delayed due to a traffic related issue,,,,,,,,
the receiving business was closed-UPS UK-Delivery attempted. Receiver not available for delivery,the receiving business was closed,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,,,,,,,,
an adult signature is required to complete this delivery ups will make a second attempt-UPS UK-1st delivery attempt. No adult signature. Delivery rescheduled.,an adult signature is required to complete this delivery ups will make a second attempt,RegEx,9e262692-641d-4d5d-a649-2f6128bdae45,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,1st delivery attempt. No adult signature. Delivery rescheduled.,1st delivery attempt. No adult signature. Delivery rescheduled.,,,,,,,,
your package cannot be delivered to a p o box we re attempting to obtain an alternate delivery address-UPS UK-Shipment is held to verify commodity description for correct classification,your package cannot be delivered to a p o box we re attempting to obtain an alternate delivery address,RegEx,756b914a-2d36-4de9-87b2-588443c88916,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment is held to verify commodity description for correct classification,Carrier is unable to deliver to the PO Box address and is attempting to locate an alternative address,,,,,,,,
the shipment is being held commodity description information must be validated by the sender or importer-UPS UK-Shipment is held to verify commodity description for correct classification,the shipment is being held commodity description information must be validated by the sender or importer,RegEx,756b914a-2d36-4de9-87b2-588443c88916,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment is held to verify commodity description for correct classification,Shipment is held to verify commodity description for correct classification,,,,,,,,
your package may be delayed we are adjusting delivery plans as quickly as possible-UPS UK-Carrier error delayed delivery,your package may be delayed we are adjusting delivery plans as quickly as possible,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,We're working to deliver the package as soon as possible,,,,,,,,
your package arrived late to the destination city you should expect at least one business day delay-UPS UK-Arrived late at destination - Expect 1 business day delivery delay,your package arrived late to the destination city you should expect at least one business day delay,RegEx,b7349cb4-896b-4a03-a984-8b556118a1b7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Arrived late at destination - Expect 1 business day delivery delay,Arrived late at destination - Expect 1 business day delivery delay,,,,,,,,
we received a request to change delivery the request will be processed once the package returns to our facility-UPS UK-Request to reschedule delivery,we received a request to change delivery the request will be processed once the package returns to our facility,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Request to reschedule delivery,Request to reschedule delivery,,,,,,,,
at the receiver s request the ups my choice delivery change option was modified-UPS UK-Request to reschedule delivery,at the receiver s request the ups my choice delivery change option was modified,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Request to reschedule delivery,Request to reschedule delivery,,,,,,,,
additional information is needed from the importer to provide duty relief for shipment repaired at origin-UPS UK-The returned package requires an export invoice for duty relief,additional information is needed from the importer to provide duty relief for shipment repaired at origin,RegEx,3d3bb87b-f197-407b-b7cc-cd33835f135d,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,The returned package requires an export invoice for duty relief,Additional information required for customs clearance,,,,,,,,
your shipment was not processed by ups brokerage this has caused a delay-UPS UK-Shipment was not processed by brokerage. This has caused a delay,your shipment was not processed by ups brokerage this has caused a delay,RegEx,f1210d20-d968-43c1-be67-04a2678cb3f5,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment was not processed by brokerage. This has caused a delay,Shipment was not processed by brokerage. This has caused a delay,,,,,,,,
we updated the delivery information for your package-UPS UK-New instructions received - We updated the delivery information for your package,we updated the delivery information for your package,RegEx,0b6f2e65-c1a7-4b3d-90da-de65f31b6160,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,New instructions received - We updated the delivery information for your package,New instructions received - We updated the delivery information for your package,,,,,,,,
we re unable to contact the receiver-UPS UK-Unable to contact receiver,we re unable to contact the receiver,RegEx,305edab0-4c35-4bd1-85c6-1f991389ccbb,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Unable to contact receiver,Unable to contact receiver,,,,,,,,
corrected the postal code and the package is on it s way to the updated address-UPS UK-Rescheduled delivery due to updated address,corrected the postal code and the package is on it s way to the updated address,RegEx,f77abb6a-14d1-485f-91b6-71ed3e096044,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Rescheduled delivery due to updated address,Rescheduled delivery due to updated address,,,,,,,,
we received an additional request to change the delivery of this package the request is in progress-UPS UK-Request to reschedule delivery,we received an additional request to change the delivery of this package the request is in progress,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Request to reschedule delivery,Request to reschedule delivery,,,,,,,,
as requested the ups my choice delivery change was completed-UPS UK-Request to reschedule delivery,as requested the ups my choice delivery change was completed,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Request to reschedule delivery,Request to reschedule delivery,,,,,,,,
delivery may be delayed due to an incomplete address we are working to update the address-UPS UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,delivery may be delayed due to an incomplete address we are working to update the address,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,
arrived at facility-UPS UK-In Transit,arrived at facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,In Transit,Arrival scan,,,,,,,,
the suite number is either missing or incorrect this may delay delivery we re attempting to update the address-UPS UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,the suite number is either missing or incorrect this may delay delivery we re attempting to update the address,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,,,,,
documentation for personal belongings is missing and is required from the receiver-UPS UK-Additional information required for customs clearance,documentation for personal belongings is missing and is required from the receiver,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Additional information required for customs clearance,Personal affects form required for customs clearance,,,,,,,,
a hazardous materials irregularity occurred with this package we ll contact the sender with additional information-UPS UK-Shipment on hold due to restricted items,a hazardous materials irregularity occurred with this package we ll contact the sender with additional information,RegEx,7a674ef1-16cd-49c7-947a-fee0deb8725d,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment on hold due to restricted items,Shipment contains hazardous material,,,,,,,,
the sender requested that we hold this package-UPS UK-Shipment on hold after request,the sender requested that we hold this package,RegEx,72dba80e-ccf9-4e7e-967b-b04b9ede4ee1,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Shipment on hold after request,Shipment on hold after request,,,,,,,,
we require a phone number for the delivery address-UPS UK-Valid receiver's contact information required,we require a phone number for the delivery address,RegEx,ac2ea6ba-0e4d-4a6d-9710-b986c170f65e,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Valid receiver's contact information required,Valid receiver's contact information required,,,,,,,,
the package has been redirected and forwarded to the delivery center-UPS UK-Package has been re-directed to the destination,the package has been redirected and forwarded to the delivery center,RegEx,0675fba7-8474-4654-bce9-579e163a4595,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package has been re-directed to the destination,Package has been re-directed to the destination,,,,,,,,
the receiving business was closed at the time of the second delivery attempt a final attempt will be made-UPS UK-2nd delivery attempt. Receiver not available.,the receiving business was closed at the time of the second delivery attempt a final attempt will be made,RegEx,95933051-a6e3-4bd5-976b-0e780f887cbe,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,2nd delivery attempt. Receiver not available.,2nd delivery attempt. Receiver not available.,,,,,,,,
your package has been delayed by customs or other government agency-UPS UK-Clearance has been delayed by customs or other government agency,your package has been delayed by customs or other government agency,RegEx,e88ff616-6014-4117-9c92-de79a974709f,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Clearance has been delayed by customs or other government agency,Clearance has been delayed by customs or other government agency,,,,,,,,
the receiving business was closed and delivery has been rescheduled for the next business day-UPS UK-Delivery attempted. Receiver not available for delivery,the receiving business was closed and delivery has been rescheduled for the next business day,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery. Delivery rescheduled for next business day.,,,,,,,,
we were unable to dispatch the trailer on time this may cause a delay-UPS UK-Carrier error delayed delivery,we were unable to dispatch the trailer on time this may cause a delay,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier error delayed delivery,A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours,,,,,,,,
the receiver has picked up their package-UPS UK-Delivered,the receiver has picked up their package,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivered,Delivered,,,,,,,,
package must be picked up within 5 business days-UPS UK-Package needs to be collected within 5 business days,package must be picked up within 5 business days,RegEx,1510f0db-9ff0-4b60-8acc-4ab8f1bf0874,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package needs to be collected within 5 business days,Package needs to be collected within 5 business days,,,,,,,,
we ve attempted to contact the receiver regarding pickup arrangements-UPS UK-Receiver contact attempt for pickup arrangements,we ve attempted to contact the receiver regarding pickup arrangements,RegEx,6c79594c-7041-4f9d-82f1-4f452d2c1bb7,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Receiver contact attempt for pickup arrangements,Receiver contact attempt for pickup arrangements,,,,,,,,
"package transferred to post office-UPS UK-Transferred to Post Office for delivery, delivery may be delayed by up to 2 business days",package transferred to post office,RegEx,cb725fa8-79cf-422f-b982-791a43805638,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,"Transferred to Post Office for delivery, delivery may be delayed by up to 2 business days","Transferred to Post Office for delivery, delivery may be delayed by up to 2 business days",,,,,,,,
we re attempting to verify the package location-UPS UK-Investigation opened for lost package,we re attempting to verify the package location,RegEx,04815b19-8a89-4d13-8e71-a4c59981518d,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Investigation opened for lost package,Investigation opened for lost package,,,,,,,,
your package was damaged in transit we will notify the sender with details-UPS UK-Package damaged in transit,your package was damaged in transit we will notify the sender with details,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
we will contact the sender-UPS UK-Carrier to contact sender or receiver,we will contact the sender,RegEx,7a5b24ed-fd04-44e5-813d-f94d49d07f91,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Carrier to contact sender or receiver,Carrier to contact sender or receiver,,,,,,,,
the receiver refused the delivery-UPS UK-Delivery refused,the receiver refused the delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Delivery refused,Delivery refused,,,,,,,,
the receiver has been requested to provide warehouse entry details necessary for clearance-UPS UK-Additional information required for customs clearance,the receiver has been requested to provide warehouse entry details necessary for clearance,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Additional information required for customs clearance,Receiver contacted for clearance instructions,,,,,,,,
export documentation is incomplete or missing we are working to obtain this information-UPS UK-Missing or incomplete export documentation,export documentation is incomplete or missing we are working to obtain this information,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Missing or incomplete export documentation,,,,,,,,
commercial inside release-UPS UK-Released by customs. Clearance complete.,commercial inside release,RegEx,8a6f5bab-4a6d-46fc-8d5c-33eb00e367b1,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Released by customs. Clearance complete.,Released by customs. Clearance complete.,,,,,,,,
the shipment is in transit for final delivery delivery is scheduled in approximately 1 2 days-UPS UK-In Transit,the shipment is in transit for final delivery delivery is scheduled in approximately 1 2 days,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,In Transit,Scheduled for delivery,,,,,,,,
we ve contacted the sender-UPS UK-Contant with sender made,we ve contacted the sender,RegEx,c7111e6f-7106-4022-b768-130c93960584,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Contant with sender made,Contant with sender made,,,,,,,,
we are awaiting payment authorization from the receiver-UPS UK-Held awaiting tax payment by the receiver,we are awaiting payment authorization from the receiver,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,,,,,,,,
export license documentation is missing and is required for clearance we are working to obtain this information-UPS UK-Missing export license required for clearance,export license documentation is missing and is required for clearance we are working to obtain this information,RegEx,0472d1dd-17cf-45a4-86f8-39c52fa8d124,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing export license required for clearance,Missing export license required for clearance,,,,,,,,
"due to commodity or weight your package is being held to verify value-UPS UK-Due to commodity or weight, your package is being held to verify value.",due to commodity or weight your package is being held to verify value,RegEx,e4f3df0c-b4df-45c8-b441-b3d1c235d7d1,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,"Due to commodity or weight, your package is being held to verify value.","Due to commodity or weight, your package is being held to verify value.",,,,,,,,
the sender requested that we return this package-UPS UK-Return of the package requested,the sender requested that we return this package,RegEx,e2dfa742-6a87-4e30-97a6-eafec17c2edf,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Return of the package requested,Return of the package requested,,,,,,,,
the package has been damaged and the sender will be notified-UPS UK-Package damaged in transit,the package has been damaged and the sender will be notified,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package damaged in transit,Package damaged in transit,,,,,,,,
your package was cleared after the scheduled transport departure we will reschedule for the next available departure-UPS UK-Package was cleared after the scheduled departure. Expect a 1 business day delay,your package was cleared after the scheduled transport departure we will reschedule for the next available departure,RegEx,48e436f7-9dba-46dd-8d47-ff3566eaa9c2,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Package was cleared after the scheduled departure. Expect a 1 business day delay,Package was cleared after the scheduled departure. Expect a 1 business day delay,,,,,,,,
additional documentation is required for clearance we re working to obtain this information-UPS UK-Missing or incomplete export documentation,additional documentation is required for clearance we re working to obtain this information,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,UPS UK,0bb863db-1a5d-4688-8212-a842ab236726,Missing or incomplete export documentation,Additional information or paperwork required for customs clearance,,,,,,,,
